Time,Signal
50673.57,318
50676.41,325
50679.26,324
50682.11,317
50684.95,314
50687.79,314
50690.64,323
50693.49,326
50696.33,329
50699.17,319
50702.02,314
50704.86,320
50707.71,326
50710.55,330
50713.39,326
50716.24,322
50719.09,318
50721.93,325
50724.77,330
50727.62,333
50730.46,329
50733.31,319
50736.15,318
50738.99,323
50741.84,330
50744.69,333
50747.53,333
50750.37,322
50753.22,325
50756.07,324
50758.91,330
50761.75,333
50764.59,331
50767.44,322
50770.29,321
50773.14,327
50775.98,336
50778.82,334
50781.67,329
50784.52,318
50787.36,320
50790.2,324
50793.05,327
50795.89,330
50798.73,324
50801.57,317
50804.42,320
50807.27,323
50810.12,328
50812.96,330
50815.8,319
50818.65,317
50821.5,319
50824.33,328
50827.17,330
50830.02,327
50832.86,325
50835.71,320
50838.55,323
50841.39,332
50844.24,333
50847.09,331
50849.93,324
50852.77,324
50855.62,326
50858.46,331
50861.31,334
50864.15,327
50866.99,323
50869.84,320
50872.69,327
50875.53,335
50878.37,337
50881.22,331
50884.07,324
50886.91,324
50889.75,328
50892.59,336
50895.44,336
50898.29,328
50901.14,319
50903.98,322
50906.82,329
50909.67,332
50912.52,331
50915.36,325
50918.2,319
50921.05,320
50923.89,330
50926.73,334
50929.57,334
50932.42,326
50935.27,325
50938.12,331
50940.96,341
50943.8,348
50946.65,341
50949.5,332
50952.33,330
50955.17,329
50958.02,340
50960.86,346
50963.71,342
50966.55,339
50969.39,338
50972.24,347
50975.09,347
50977.93,348
50980.77,338
50983.62,329
50986.46,324
50989.31,328
50992.15,331
50994.99,331
50997.84,323
51000.69,315
51003.53,313
51006.37,320
51009.22,325
51012.07,327
51014.91,318
51017.75,316
51020.59,314
51023.44,322
51026.29,327
51029.14,325
51031.98,315
51034.82,310
51037.67,313
51040.52,318
51043.36,324
51046.2,320
51049.05,315
51051.89,312
51054.73,315
51057.57,321
51060.42,327
51063.27,319
51066.12,315
51068.96,306
51071.8,303
51074.65,300
51077.5,287
51080.33,272
51083.17,257
51086.02,260
51088.86,271
51091.71,296
51094.55,344
51097.39,413
51100.24,505
51103.09,632
51105.93,648
51108.77,649
51111.62,649
51114.46,613
51117.31,496
51120.16,370
51123,282
51125.84,236
51128.69,227
51131.53,235
51134.37,248
51137.22,272
51140.07,300
51142.91,323
51145.75,324
51148.59,319
51151.44,310
51154.29,302
51157.14,306
51159.98,313
51162.82,309
51165.67,304
51168.52,298
51171.36,303
51174.2,310
51177.05,318
51179.89,314
51182.73,307
51185.57,301
51188.42,304
51191.27,310
51194.12,315
51196.97,312
51199.81,305
51202.66,302
51205.5,305
51208.33,315
51211.17,314
51214.01,308
51216.85,306
51219.69,298
51222.53,302
51225.37,314
51228.22,313
51231.07,307
51233.91,300
51236.75,302
51239.59,309
51242.43,316
51245.28,319
51248.12,309
51250.97,302
51253.81,307
51256.66,310
51259.5,321
51262.33,316
51265.17,307
51268.02,303
51270.86,307
51273.7,313
51276.53,321
51279.38,320
51282.22,316
51285.06,308
51287.89,313
51290.73,319
51293.58,328
51296.42,328
51299.26,322
51302.11,323
51304.96,328
51307.8,336
51310.64,340
51313.48,338
51316.32,334
51319.17,332
51322.01,335
51324.85,345
51327.69,350
51330.53,348
51333.37,342
51336.21,340
51339.05,344
51341.89,353
51344.73,356
51347.58,348
51350.42,344
51353.27,337
51356.12,343
51358.97,347
51361.81,346
51364.65,338
51367.5,328
51370.33,324
51373.17,330
51376.01,333
51378.85,331
51381.69,321
51384.53,315
51387.37,314
51390.21,320
51393.05,324
51395.89,323
51398.72,313
51401.56,312
51404.41,309
51407.26,316
51410.1,322
51412.94,319
51415.79,315
51418.64,305
51421.49,308
51424.33,318
51427.17,319
51430.01,320
51432.85,314
51435.7,308
51438.54,313
51441.39,319
51444.24,324
51447.09,320
51449.92,314
51452.76,312
51455.61,314
51458.46,323
51461.3,328
51464.14,323
51466.98,315
51469.82,313
51472.67,319
51475.51,326
51478.35,331
51481.2,322
51484.05,318
51486.89,315
51489.73,321
51492.57,330
51495.42,328
51498.27,323
51501.11,317
51503.95,318
51506.8,324
51509.64,331
51512.49,331
51515.33,323
51518.17,319
51521.02,324
51523.86,328
51526.7,337
51529.54,333
51532.38,326
51535.22,320
51538.07,326
51540.9,331
51543.74,337
51546.59,336
51549.43,328
51552.27,323
51555.11,327
51557.96,335
51560.81,335
51563.66,333
51566.5,323
51569.33,323
51572.18,330
51575.03,335
51577.86,337
51580.7,335
51583.54,327
51586.39,322
51589.23,328
51592.07,335
51594.91,337
51597.76,336
51600.61,330
51603.45,331
51606.3,331
51609.14,340
51611.99,342
51614.83,335
51617.67,325
51620.51,328
51623.36,333
51626.21,340
51629.05,342
51631.89,335
51634.73,328
51637.57,328
51640.41,335
51643.25,344
51646.1,343
51648.94,336
51651.78,332
51654.62,334
51657.47,344
51660.32,351
51663.17,344
51666,339
51668.83,334
51671.68,338
51674.53,345
51677.37,351
51680.21,353
51683.06,344
51685.9,342
51688.74,338
51691.58,349
51694.42,351
51697.27,348
51700.12,339
51702.97,338
51705.81,346
51708.66,353
51711.5,354
51714.35,346
51717.19,341
51720.03,339
51722.87,348
51725.71,358
51728.56,359
51731.4,355
51734.25,349
51737.1,349
51739.94,353
51742.78,359
51745.62,352
51748.47,348
51751.32,348
51754.17,354
51757.01,363
51759.85,368
51762.69,364
51765.53,355
51768.37,347
51771.21,342
51774.06,347
51776.9,353
51779.74,346
51782.58,336
51785.42,337
51788.27,339
51791.12,344
51793.96,350
51796.8,346
51799.65,336
51802.5,329
51805.33,329
51808.17,335
51811.02,345
51813.86,343
51816.71,334
51819.55,327
51822.39,333
51825.24,339
51828.09,345
51830.93,341
51833.77,338
51836.62,338
51839.46,342
51842.31,346
51845.15,346
51847.99,332
51850.83,316
51853.68,308
